 g__[Clostridium]_innocuum_group	 g__[Eubacterium]_brachy_group	 g__[Eubacterium]_coprostanoligenes_group	 g__[Eubacterium]_hallii_group	 g__[Eubacterium]_xylanophilum_group	 g__[Ruminococcus]_torques_group	 g__67-14	 g__A2	 g__Acetatifactor	 g__Acidibacter	 g__Acidisoma	 g__Acinetobacter	 g__Aeromicrobium	 g__Afipia	 g__Agrococcus	 g__Aliihoeflea	 g__Alistipes	 g__Alloprevotella	 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 g__alphaI_cluster	 g__Anaerotruncus	 g__Antricoccus	 g__Arthrobacter	 g__ASF356	 g__Aureimonas	 g__Bacillus	 g__Bacteroides	 g__Bifidobacterium	 g__BIrii41	 g__Blastococcus	 g__Blfdi19	 g__Bosea	 g__Brachybacterium	 g__Bradyrhizobium	 g__Butyricicoccus	 g__Caldicoprobacter	 g__Candidatus_Phytoplasma	 g__Candidatus_Saccharimonas	 g__Caproiciproducens	 g__Carnobacterium	 g__Caulobacter	 g__Cellulomonas	 g__Cellulosimicrobium	 g__Chelativorans	 g__CHKCI002	 g__Chloronema	 g__Christensenellaceae_R-7_group	 g__Chryseobacterium	 g__Citricoccus	 g__Clostridiales_vadinBB60_group	 g__Clostridium_sensu_stricto_1	 g__Corynebacterium_1	 g__Curtobacterium	 g__Cutibacterium	 g__D05-2	 g__Deinococcus	 g__Delftia	 g__Desemzia	 g__Devosia	 g__Domibacillus	 g__Donghicola	 g__Dubosiella	 g__Dysgonomonas	 g__Ellin6055	 g__Enterobacter	 g__Enterococcus	 g__Enterorhabdus	 g__Erwinia	 g__Erysipelatoclostridium	 g__Erysipelotrichaceae	 g__Escherichia-Shigella	 g__Exiguobacterium	 g__Falsirhodobacter	 g__Flavisolibacter	 g__Flavonifractor	 g__Friedmanniella	 g__Frigoribacterium	 g__GCA-900066575	 g__Gemella	 g__Georgenia	 g__GKS98_freshwater_group	 g__Glutamicibacter	 g__Gordonibacter	 g__Ileibacterium	 g__Isoptericola	 g__Jeotgalicoccus	 g__JG30-KF-AS9	 g__JG30-KF-CM45	 g__Kineococcus	 g__Kocuria	 g__Kurthia	 g__Lachnoclostridium	 g__Lachnospiraceae_NK4A136_group	 g__Lachnospiraceae_UCG-001	 g__Lachnospiraceae_UCG-006	 g__Lachnospiraceae_UCG-008	 g__Lactobacillus	 g__Leucobacter	 g__Luteimonas	 g__Marinagarivorans	 g__Marinilactibacillus	 g__Marinovum	 g__Marisediminicola	 g__Marivita	 g__Marmoricola	 g__Marvinbryantia	 g__Massilia	 g__MBA03	 g__Megamonas	 g__Merdibacter	 g__Methylobacterium	 g__Methylotenera	 g__Microbacterium	 g__Micromonospora	 g__Millionella	 g__Modestobacter	 g__Mollicutes_RF39	 g__Muribaculaceae	 g__Mycobacterium	 g__Neptunomonas	 g__Nesterenkonia	 g__Nocardia	 g__Nocardioides	 g__Nocardiopsis	 g__Noviherbaspirillum	 g__Novosphingobium	 g__Ornithinimicrobium	 g__Oscillibacter	 g__Paenibacillus	 g__Paeniglutamicibacter	 g__Pantoea	 g__Parabacteroides	 g__Paracoccus	 g__Parasutterella	 g__Parvularcula	 g__Patulibacter	 g__Pelagibacterium	 g__Phenylobacterium	 g__Plantibacter	 g__Prevotella_9	 g__Prevotellaceae_UCG-001	 g__Promicromonospora	 g__Pseudarthrobacter	 g__Pseudoclavibacter	 g__Pseudokineococcus	 g__Pseudolabrys	 g__Pseudomonas	 g__Psychrobacillus	 g__Quadrisphaera	 g__Ralstonia	 g__Rathayibacter	 g__Rheinheimera	 g__Rhodococcus	 g__Rhodopirellula	 g__Romboutsia	 g__Rothia	 g__Ruminiclostridium	 g__Ruminiclostridium_5	 g__Ruminiclostridium_9	 g__Ruminococcaceae_UCG-013	 g__Ruminococcaceae_UCG-014	 g__Saccharibacillus	 g__Saccharimonadales	 g__Salana	 g__Sanguibacter	 g__Sellimonas	 g__Sodalis	 g__Sphingobacterium	 g__Sphingobium	 g__Sphingomonas	 g__Sporosarcina	 g__Staphylococcus	 g__Stenotrophomonas	 g__Streptococcus	 g__Streptomyces	 g__Subdoligranulum	 g__SWB02	 g__Tardiphaga	 g__Terribacillus	 g__Terrisporobacter	 g__Tianweitania	 g__Tyzzerella	 g__unclassified_Acetobacteraceae	 g__unclassified_Acetobacterales	 g__unclassified_Acidimicrobiia	 g__unclassified_Actinobacteria	 g__unclassified_Alphaproteobacteria	 g__unclassified_Alteromonadales	 g__unclassified_Bacillaceae	 g__unclassified_Bacillales	 g__unclassified_Bacilli	 g__unclassified_Bacteria	 g__unclassified_Bacteroidales	 g__unclassified_Bacteroidia	 g__unclassified_Betaproteobacteriales	 g__unclassified_Bogoriellaceae	 g__unclassified_Burkholderiaceae	 g__unclassified_Carnobacteriaceae	 g__unclassified_Caulobacteraceae	 g__unclassified_Cellvibrionaceae	 g__unclassified_Clostridiales	 g__unclassified_Coriobacteriales	 g__unclassified_Coriobacteriales_Incertae_Sedis	 g__unclassified_Coriobacteriia	 g__unclassified_Corynebacteriaceae	 g__unclassified_Corynebacteriales	 g__unclassified_Desulfovibrionaceae	 g__unclassified_Devosiaceae	 g__unclassified_Eggerthellaceae	 g__unclassified_Enterobacteriaceae	 g__unclassified_Enterococcaceae	 g__unclassified_Erysipelotrichaceae	 g__unclassified_Family_XIII	 g__unclassified_Firmicutes	 g__unclassified_Gammaproteobacteria	 g__unclassified_Geodermatophilaceae	 g__unclassified_Lachnospiraceae	 g__unclassified_Lactobacillales	 g__unclassified_Microbacteriaceae	 g__unclassified_Micrococcaceae	 g__unclassified_Micrococcales	 g__unclassified_Microtrichales	 g__unclassified_Nocardioidaceae	 g__unclassified_Paenibacillaceae	 g__unclassified_Peptostreptococcaceae	 g__unclassified_Planococcaceae	 g__unclassified_Propionibacteriales	 g__unclassified_Proteobacteria	 g__unclassified_Pseudomonadaceae	 g__unclassified_Pseudomonadales	 g__unclassified_Rhizobiaceae	 g__unclassified_Rhizobiales	 g__unclassified_Rhodobacteraceae	 g__unclassified_Ruminococcaceae	 g__unclassified_Saprospiraceae	 g__unclassified_Sphingomonadaceae	 g__unclassified_Spirochaetaceae	 g__unclassified_Staphylococcaceae	 g__unclassified_Stappiaceae	 g__unclassified_Xanthobacteraceae	 g__unclassified_Xanthomonadaceae	 g__uncultured	 g__Virgibacillus	 g__Yangia
 g__Nesterenkonia	0	0	1	0	0	0	0	0	0	0.928466712450808	0	1	1	0	1	0	0	0	0.999759183741052	0	0	0	1	0	1	0.99986141074905	0	0	0	0	0	0	0.999793733564747	0	0	0	0	0	0	1	0	0.996715277822692	1	1	0	0	0	1	1	0	0	0.991060251453248	0.999819934821371	0.943249959258153	0	1	1	0.998505696387337	1	1	0	0	0	0	0.876850554567354	0.89360212681823	0	0	0	0	0	0.999944172857947	0	0	0	0	0.998754779399345	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0.999492728400763	0	0	0	0.997799472400858	0	0.999520685482338	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.826787133575139	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.998513744690491	0	1	0.974243693473701	0	0	1	0	0	0	0	0.999549001014283	1	0	0	1	0	0	0	0.988811710139567	1	0	0	0	0	0	0	0	0.998047261472227	0	0	0	0	0.995718500376468	1	0.999881740793963	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0.957381282162209	0	0	0	0.998411186263628	0.996814297801312	1	0.996856606249835	0	1	0.956115306631533	0	0.999400171245443	0	0.895947122935455	0	1	0.999922755465857	0.986459844633706	0	1	0	0	0	0	0	0	0	0	0	0
 g__Nocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Nocardioides	0	0	1	0	0	0	0	0	0	0.928466712450808	0	1	1	0	1	0	0	0	0.999759183741052	0	0	0	1	0	1	0.99986141074905	0	0	0	0	0	0	0.999793733564747	0	0	0	0	0	0	1	0	0.996715277822692	1	1	0	0	0	1	1	0	0	0.991060251453248	0.999819934821371	0.943249959258153	0	1	1	0.998505696387337	1	1	0	0	0	0	0.876850554567354	0.89360212681823	0	0	0	0	0	0.999944172857947	0	0	0	0	0.998754779399345	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0.999492728400763	0	0	0	0.997799472400858	0	0.999520685482338	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.826787133575139	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.998513744690491	0	1	0.974243693473701	0	0	1	0	0	0	0	0.999549001014283	1	0	0	1	0	0	0	0.988811710139567	1	0	0	0	0	0	0	0	0.998047261472227	0	0	0	0	0.995718500376468	1	0.999881740793963	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0.957381282162209	0	0	0	0.998411186263628	0.996814297801312	1	0.996856606249835	0	1	0.956115306631533	0	0.999400171245443	0	0.895947122935455	0	1	0.999922755465857	0.986459844633706	0	1	0	0	0	0	0	0	0	0	0	0
 g__Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Novosphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814612528985999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989279062976015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.81420466831954	0	0	0	0	0.814612528985999	0	0	0	0	0	0.814612528985999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90803079342465	0	0	0	0	0	0	0.971225169754171	0	0	0	0	0	0	0	0.847039409281806	0	0.868224922628798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814612528985999	0	0	0	0	0	0
 g__Ornithinimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Paenibacillus	0	0	0.826787133575139	0	0	0	0	0	0	0	0	0.826787133575139	0.826787133575139	0	0.826787133575139	0	0	0	0.823287821751624	0	0	0	0.826787133575139	0	0.826787133575139	0.83442742877191	0	0	0	0	0	0	0.837259787011565	0	0	0	0	0	0	0.826787133575139	0	0.820872565012245	0.826787133575139	0.826787133575139	0	0	0	0.826787133575139	0.826787133575139	0	0	0.814126176634083	0.826283319855084	0.926627351117764	0	0.826787133575139	0.826787133575139	0.817425170074483	0.826787133575139	0.826787133575139	0	0	0	0	0	0.867948646084977	0	0	0	0	0	0.822636696193173	0	0	0	0	0.851901353163842	0	0	0.826787133575139	0.826787133575139	0.826787133575139	0	0	0	0	0	0	0.826787133575139	0.826787133575139	0	0	0	0	0	0	0	0.826787133575139	0.826787133575139	0.826787133575139	0.826787133575139	0	0	0	0	0	0.82544001584823	0	0	0	0	0	0.833882413294868	0	0	0	0	0	0	0	0.826787133575139	0	0.826787133575139	0	0	0.81420466831954	0	0	1	0.826787133575139	0	0	0.826787133575139	0	0	0	0	0	0.826787133575139	0	0	0	0	0.826787133575139	0	0	0	0	0	0	0.826787133575139	0	0.826787133575139	0	0	0	0	0	0	0	0	0.853657727951605	0	0.826787133575139	0	0	0	0.826787133575139	0	0	0	0	0.824700805756395	0.826787133575139	0	0	0.826787133575139	0	0.868958818833284	0	0.811644853879566	0.826787133575139	0	0	0	0	0	0	0.989119927238093	0.851908647224919	0	0	0	0	0.820935123967963	0.826787133575139	0.831090892866216	0.826787133575139	0	0	0.826787133575139	0	0	0	0.826787133575139	0	0	0	0	0	0	0	0	0	0	0	0	0.824064098230989	0.86594940097448	0.826787133575139	0	0	0.826787133575139	0	0	0.830717485249453	0	0	0	0.826787133575139	0.822860017189529	0	0	0.826787133575139	0	0	0	0	0	0	0	0	0	0
 g__Paeniglutamicibacter	0	0	1	0	0	0	0	0	0	0.928466712450808	0	1	1	0	1	0	0	0	0.999759183741052	0	0	0	1	0	1	0.99986141074905	0	0	0	0	0	0	0.999793733564747	0	0	0	0	0	0	1	0	0.996715277822692	1	1	0	0	0	1	1	0	0	0.991060251453248	0.999819934821371	0.943249959258153	0	1	1	0.998505696387337	1	1	0	0	0	0	0.876850554567354	0.89360212681823	0	0	0	0	0	0.999944172857947	0	0	0	0	0.998754779399345	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0.999492728400763	0	0	0	0.997799472400858	0	0.999520685482338	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.826787133575139	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.998513744690491	0	1	0.974243693473701	0	0	1	0	0	0	0	0.999549001014283	1	0	0	1	0	0	0	0.988811710139567	1	0	0	0	0	0	0	0	0.998047261472227	0	0	0	0	0.995718500376468	1	0.999881740793963	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0.957381282162209	0	0	0	0.998411186263628	0.996814297801312	1	0.996856606249835	0	1	0.956115306631533	0	0.999400171245443	0	0.895947122935455	0	1	0.999922755465857	0.986459844633706	0	1	0	0	0	0	0	0	0	0	0	0
 g__Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941582606238562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.941582606238562	0	0	0	0	0	0.941582606238562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941582606238562	0	0	0	0	0	0
 g__Parabacteroides	0	0	0	0	0	0	0	0	0	0	0.979359235690626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912042141998356	0	1	0	1	0	0	0.936744361522528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0.943369605190974	0	0	0	0	0	0	0	0	0	0	0	0	0.873129631606942	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.815552355051607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931100641977985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83331630244327	0	0	0	0	0	0	0.953561099348419	0	0	0	0
 g__Paracoccus	0	0	1	0	0	0	0	0	0	0.928466712450808	0	1	1	0	1	0	0	0	0.999759183741052	0	0	0	1	0	1	0.99986141074905	0	0	0	0	0	0	0.999793733564747	0	0	0	0	0	0	1	0	0.996715277822692	1	1	0	0	0	1	1	0	0	0.991060251453248	0.999819934821371	0.943249959258153	0	1	1	0.998505696387337	1	1	0	0	0	0	0.876850554567354	0.89360212681823	0	0	0	0	0	0.999944172857947	0	0	0	0	0.998754779399345	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0.999492728400763	0	0	0	0.997799472400858	0	0.999520685482338	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.826787133575139	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.998513744690491	0	1	0.974243693473701	0	0	1	0	0	0	0	0.999549001014283	1	0	0	1	0	0	0	0.988811710139567	1	0	0	0	0	0	0	0	0.998047261472227	0	0	0	0	0.995718500376468	1	0.999881740793963	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0.957381282162209	0	0	0	0.998411186263628	0.996814297801312	1	0.996856606249835	0	1	0.956115306631533	0	0.999400171245443	0	0.895947122935455	0	1	0.999922755465857	0.986459844633706	0	1	0	0	0	0	0	0	0	0	0	0
 g__Parasutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814612528985999	0	0	0	0	0.941582606238562	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.819561031188559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 g__Parvularcula	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906437419495065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901117091096526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.942285508388251	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998675242406427	0	0
 g__Patulibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Pelagibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Phenylobacterium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906437419495065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901117091096526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.942285508388251	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998675242406427	0	0
