V1	 g__Acaulium	 g__Acremonium	 g__Alternaria	 g__Amphinema	 g__Apiotrichum	 g__Ascochyta	 g__Aspergillus	 g__Aureobasidium	 g__Bullera	 g__Cercophora	 g__Cercospora	 g__Cladorrhinum	 g__Cladosporium	 g__Cosmospora	 g__Cutaneotrichosporon	 g__Devriesia	 g__Dissoconium	 g__Emericellopsis	 g__Epichloe	 g__Exophiala	 g__Filobasidium	 g__Fusariella	 g__Fusarium	 g__Golubevia	 g__Kurtzmaniella	 g__Kurtzmanomyces	 g__Leptosphaeria	 g__Malassezia	 g__Metarhizium	 g__Microcyclospora	 g__Mycenella	 g__Myrothecium	 g__Paraconiothyrium	 g__Penicillium	 g__Phoma	 g__Plectosphaerella	 g__Pochonia	 g__Pseudaleuria	 g__Pyrenophora	 g__Ramularia	 g__Rhodosporidiobolus	 g__Septoria	 g__Staphylotrichum	 g__Stemphylium	 g__Suillus	 g__Talaromyces	 g__Tomentella	 g__Trechispora	 g__Trichoderma	 g__Trichomerium	 g__Trichosporon	 g__unclassified	 g__Uwebraunia	 g__Vishniacozyma	 g__Wallemia	 g__Wojnowiciella	 g__Zasmidium
 g__Pyrenophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Ramularia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Rhodosporidiobolus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.995844538483465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.982762940457379	0	0	0	0	0	0	0	0	0
 g__Septoria	0	0	0	0	0	0	0	0	0	0	0	0.980360794420449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Staphylotrichum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.960741957789682	0	0	0.938726118496401	0	0	0	0	0	0	0	0
 g__Stemphylium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Suillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Talaromyces	0	0	0	0	0	0	0	0	0	0	0	0	0.960741957789682	0	0	0	0	0	0.960741957789682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.960741957789682	0	0	0	0	0	0	0.960741957789682	0	0	1	0	0	0.933740004958729	0	0	0	0	0	0	0	0
 g__Tomentella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Trechispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973892336622484	0	0	0	0.982762940457379	0	0	0	0	0	0	0	0	0	0	0	0	0	0.982762940457379	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 g__Trichoderma	0	0	0	0	0	0	0	0	0	0	0	0	0.938726118496401	0	0	0	0	0	0.938726118496401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.820471401717582	0	0.938726118496401	0	0	0	0	0	0	0.938726118496401	0	0	0.933740004958729	0	0	1	0	0	0	0	0	0	0	0
 g__Trichomerium	0	1	1	0	0	0	0	0	0	1	1	0	0	0.816765618375159	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.956474452486238	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.855726218059526	0	1	0	0	0
 g__Trichosporon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__unclassified	0	0.855726218059526	0.855726218059526	0	0	0	0	0	0	0.855726218059526	0.855726218059526	0	0	0.913560419821515	0	0	0	0	0	0	0	0.855726218059526	0	0	0	0	0	0	0	0.855726218059526	0	0	0	0	0	0	0	0	0.855726218059526	0	0	0	0	0	0	0	0	0	0	0	0.855726218059526	0	1	0	0.855726218059526	0	0	0
 g__Uwebraunia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Vishniacozyma	0	1	1	0	0	0	0	0	0	1	1	0	0	0.816765618375159	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.956474452486238	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.855726218059526	0	1	0	0	0
 g__Wallemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Wojnowiciella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Zasmidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
